linea,estacion,long,lat
4,Martín Carrera,-99.104373243658100,19.485020059674400
4,Talismán,-99.10798743685174,19.474354156380826
4,Bondojito,-99.11201759521671,19.46466881052703
4,Consulado,-99.11441472445102,19.455737996405574
4,Canal del Norte,-99.11617669725693,19.448805224977747
4,Morelos,-99.11896538417217,19.43963182150236
4,Candelaria,-99.120864630394700,19.429332018761100
4,Fray Servando,-99.12051441515125,19.421567321456692
4,Jamaica,-99.121812252704700,19.409268415854800
4,Santa Anita,-99.12154789520936,19.403676478207018
