linea,estacion,long,lat
6,El Rosario,-99.20005987220532,19.50442803831504
6,Tezozómoc,-99.19602499583654,19.49489071426987
6,Azcapotzalco,-99.18630010676671,19.490863766163542
6,Ferrería,-99.1738904435511,19.49065702883405
6,Norte 45,-99.16296467158885,19.488667281499772
6,Vallejo,-99.1560338803422,19.48982185339429
6,Instituto del Petróleo,-99.1453493428596,19.49036063056765
6,Lindavista,-99.135051413081,19.48806478331845
6,Deportivo 18 de Marzo,-99.125103839354200,19.484328045421900
6,La Villa-Basílica,-99.11839091503744,19.481540759009647
6,Martín Carrera,-99.10437324365816,19.485020059674483
