linea,estacion,long,lat
3,Indios Verdes,-99.11950155753419,19.495224050304373
3,Deportivo 18 de Marzo,-99.12510383935425,19.484328045421904
3,Potrero,-99.132086937371100,19.477105030555100
3,La Raza,-99.13659724378643,19.469734669619143
3,Tlatelolco,-99.1431700387608,19.455040387173383
3,Guerrero,-99.145129178894000,19.444882414944500
3,Hidalgo,-99.14694684751913,19.43738614696099
3,Juárez,-99.1477348424796,19.433015004082463
3,Balderas,-99.14895479233407,19.427026378159724
3,Niños Héroes,-99.15045965487133,19.419390281917202
3,Hospital General,-99.1529395148478,19.41387396038708
3,Centro Médico,-99.15516443252014,19.40652934153394
3,Etiopía/Plaza de la Transparencia,-99.15607347936322,19.395018054507673
3,Eugenia,-99.15723229252917,19.386207611638525
3,División del Norte,-99.158993690549000,19.37969252249556
3,Zapata,-99.164844707407300,19.370641112754400
3,Coyoacán,-99.17088706839162,19.361422840029164
3,Viveros/Derechos Humanos,-99.17519481304275,19.354290655713683
3,Miguel Ángel de Quevedo,-99.18078026151007,19.346223907348104
3,Copilco,-99.17713325466144,19.335904570817405
3,Universidad,-99.17392026887015,19.324413118856626
